address,datetime,latitude,longitude,returned_address,confidence,confidence_score,geocoding_status
502 WEBSTER ST,2025-06-27T12:14:00.000,37.7796422,-122.4301482,"Webster Street, Fillmore District, Western Addition, San Francisco, California, 95115, United States",LOW,40,SUCCESS
3020 SAN BRUNO AVE,2025-06-27T07:23:00.000,37.7236029,-122.4020394,"3020, San Bruno Avenue, Portola, Bayview District, San Francisco, California, 94134, United States",HIGH,90,SUCCESS
2324 CHESTNUT ST,2025-06-27T06:14:00.000,37.800338,-122.4417487,"Crunch Fitness, 2324, Chestnut Street, Marina District, San Francisco, California, 94123, United States",HIGH,90,SUCCESS
410 CABRILLO ST,2025-06-27T09:40:00.000,37.7755447,-122.4630877,"410;426, Cabrillo Street, Inner Richmond, Richmond District, San Francisco, California, 94118, United States",HIGH,90,SUCCESS
623 HAIGHT ST,2025-06-27T08:34:00.000,37.7716413,-122.4325088,"619;621;623, Haight Street, Lower Haight, Western Addition, San Francisco, California, 94143, United States",HIGH,90,SUCCESS
2315 LAKE ST,2025-06-27T08:38:00.000,37.7855649,-122.4844078,"2315;2317, Lake Street, Seacliff, Richmond District, San Francisco, California, 94121, United States",HIGH,90,SUCCESS
37 29TH ST,2025-06-27T07:21:00.000,37.743835,-122.4216398,"33;37, 29th Street, Bernal Heights, San Francisco, California, 90110, United States",HIGH,90,SUCCESS
4 WEBSTER ST,2025-06-27T12:04:00.000,37.7705935,-122.4283493,"4, Webster Street, Western Addition, San Francisco, California, 94117, United States",HIGH,90,SUCCESS
635 35TH AVE,2025-06-27T10:19:00.000,37.7769649,-122.4954713,"635;637, 35th Avenue, Outer Richmond, San Francisco, California, 94121, United States",HIGH,90,SUCCESS
3189 16TH ST,2025-06-27T02:33:00.000,37.7647215,-122.4237583,"3189, 16th Street, Mission District, San Francisco, California, 94103, United States",HIGH,90,SUCCESS
801 SUTTER ST,2025-06-27T07:31:00.000,37.7868917,-122.4269993,"Sutter Street, Japantown, Western Addition, San Francisco, California, 95115, United States",LOW,40,SUCCESS
