/Users/zshor/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-07-22 09:23:16,386 - INFO - 🚗 Starting Production Citation GPS Processing
2025-07-22 09:23:16,386 - INFO - ============================================================
2025-07-22 09:23:16,387 - INFO - Loading citations from file: temp_citations_for_geocoding.csv
/Users/zshor/Desktop/SFParkingApp/data_processing/production/core/production_citation_processor.py:164: DtypeWarning: Columns (2) have mixed types. Specify dtype option on import or set low_memory=False.
  df = pd.read_csv(input_file)
2025-07-22 09:23:24,668 - INFO - ✅ Loaded 495303 citations from file
2025-07-22 09:23:25,095 - INFO - Resuming: 161744 already processed, 495303 remaining
2025-07-22 09:23:25,095 - INFO - Processing 495303 citations in batches of 1000
2025-07-22 09:23:25,095 - INFO - Processing batch 1: citations 1-1000 of 495303
2025-07-22 09:23:25,622 - INFO - Processed 10 citations. Success rate: 90.0% (H:9, M:0, F:1)
2025-07-22 09:23:25,765 - INFO - Processed 20 citations. Success rate: 95.0% (H:19, M:0, F:1)
2025-07-22 09:23:25,876 - INFO - Processed 30 citations. Success rate: 96.7% (H:29, M:0, F:1)
2025-07-22 09:23:26,066 - INFO - Processed 40 citations. Success rate: 97.5% (H:39, M:0, F:1)
2025-07-22 09:23:26,228 - INFO - Processed 50 citations. Success rate: 98.0% (H:49, M:0, F:1)
2025-07-22 09:23:26,366 - INFO - Processed 60 citations. Success rate: 98.3% (H:58, M:1, F:1)
2025-07-22 09:23:26,502 - INFO - Processed 70 citations. Success rate: 97.1% (H:67, M:1, F:2)
2025-07-22 09:23:26,652 - INFO - Processed 80 citations. Success rate: 97.5% (H:76, M:2, F:2)
2025-07-22 09:23:26,788 - INFO - Processed 90 citations. Success rate: 97.8% (H:86, M:2, F:2)
2025-07-22 09:23:26,950 - INFO - Processed 100 citations. Success rate: 98.0% (H:96, M:2, F:2)
2025-07-22 09:23:27,109 - INFO - Processed 110 citations. Success rate: 98.2% (H:106, M:2, F:2)
2025-07-22 09:23:27,277 - INFO - Processed 120 citations. Success rate: 98.3% (H:116, M:2, F:2)
2025-07-22 09:23:27,365 - INFO - Processed 130 citations. Success rate: 98.5% (H:126, M:2, F:2)
2025-07-22 09:23:27,516 - INFO - Processed 140 citations. Success rate: 98.6% (H:136, M:2, F:2)
2025-07-22 09:23:27,694 - INFO - Processed 150 citations. Success rate: 98.7% (H:146, M:2, F:2)
2025-07-22 09:23:27,804 - INFO - Processed 160 citations. Success rate: 98.8% (H:156, M:2, F:2)
2025-07-22 09:23:27,965 - INFO - Processed 170 citations. Success rate: 98.8% (H:166, M:2, F:2)
2025-07-22 09:23:28,103 - INFO - Processed 180 citations. Success rate: 98.9% (H:176, M:2, F:2)
2025-07-22 09:23:28,234 - INFO - Processed 190 citations. Success rate: 98.4% (H:185, M:2, F:3)
2025-07-22 09:23:28,401 - INFO - Processed 200 citations. Success rate: 97.5% (H:193, M:2, F:5)
2025-07-22 09:23:28,520 - INFO - Processed 210 citations. Success rate: 97.6% (H:202, M:3, F:5)
2025-07-22 09:23:28,670 - INFO - Processed 220 citations. Success rate: 96.8% (H:210, M:3, F:7)
2025-07-22 09:23:28,819 - INFO - Processed 230 citations. Success rate: 96.5% (H:219, M:3, F:8)
2025-07-22 09:23:28,964 - INFO - Processed 240 citations. Success rate: 95.0% (H:225, M:3, F:12)
2025-07-22 09:23:29,108 - INFO - Processed 250 citations. Success rate: 94.8% (H:234, M:3, F:13)
2025-07-22 09:23:29,259 - INFO - Processed 260 citations. Success rate: 95.0% (H:244, M:3, F:13)
2025-07-22 09:23:29,399 - INFO - Processed 270 citations. Success rate: 95.2% (H:254, M:3, F:13)
2025-07-22 09:23:29,544 - INFO - Processed 280 citations. Success rate: 95.4% (H:264, M:3, F:13)
2025-07-22 09:23:29,662 - INFO - Processed 290 citations. Success rate: 95.5% (H:274, M:3, F:13)
2025-07-22 09:23:29,803 - INFO - Processed 300 citations. Success rate: 95.7% (H:284, M:3, F:13)
2025-07-22 09:23:29,968 - INFO - Processed 310 citations. Success rate: 95.8% (H:294, M:3, F:13)
2025-07-22 09:23:30,128 - INFO - Processed 320 citations. Success rate: 95.6% (H:303, M:3, F:14)
2025-07-22 09:23:30,231 - INFO - Processed 330 citations. Success rate: 95.8% (H:313, M:3, F:14)
2025-07-22 09:23:30,437 - INFO - Processed 340 citations. Success rate: 95.9% (H:323, M:3, F:14)
2025-07-22 09:23:30,566 - INFO - Processed 350 citations. Success rate: 96.0% (H:333, M:3, F:14)
2025-07-22 09:23:30,672 - INFO - Processed 360 citations. Success rate: 96.1% (H:343, M:3, F:14)
2025-07-22 09:23:30,850 - INFO - Processed 370 citations. Success rate: 96.2% (H:350, M:6, F:14)
2025-07-22 09:23:30,975 - INFO - Processed 380 citations. Success rate: 96.3% (H:358, M:8, F:14)
2025-07-22 09:23:31,123 - INFO - Processed 390 citations. Success rate: 96.4% (H:368, M:8, F:14)
2025-07-22 09:23:31,284 - INFO - Processed 400 citations. Success rate: 96.5% (H:378, M:8, F:14)
2025-07-22 09:23:31,391 - INFO - Processed 410 citations. Success rate: 96.6% (H:388, M:8, F:14)
2025-07-22 09:23:31,532 - INFO - Processed 420 citations. Success rate: 96.4% (H:397, M:8, F:15)
2025-07-22 09:23:31,715 - INFO - Processed 430 citations. Success rate: 96.5% (H:407, M:8, F:15)
2025-07-22 09:23:31,844 - INFO - Processed 440 citations. Success rate: 96.4% (H:416, M:8, F:16)
2025-07-22 09:23:31,971 - INFO - Processed 450 citations. Success rate: 96.4% (H:426, M:8, F:16)
2025-07-22 09:23:32,172 - INFO - Processed 460 citations. Success rate: 95.9% (H:433, M:8, F:19)
2025-07-22 09:23:32,281 - INFO - Processed 470 citations. Success rate: 96.0% (H:443, M:8, F:19)
2025-07-22 09:23:32,412 - INFO - Processed 480 citations. Success rate: 95.6% (H:451, M:8, F:21)
