schedule_id,cnn,corridor,limits,cnn_right_left,block_side,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time
2000305,182000,03rd St,Berry St  -  Channel St,L,NorthEast,Saturday,2,6,3,2.9500000000000006,2.9,2.9833333333333334
2000310,182000,03rd St,Berry St  -  Channel St,R,SouthWest,Saturday,2,6,3,2.9500000000000006,2.9,2.9833333333333334
2000317,179000,03rd St,Brannan St  -  Townsend St,L,NorthEast,Saturday,2,6,3,2.9500000000000006,2.9,2.9833333333333334
2000324,179000,03rd St,Brannan St  -  Townsend St,R,SouthWest,Saturday,2,6,3,2.9500000000000006,2.9,2.9833333333333334
2000425,169000,03rd St,Clementina St  -  Folsom St,L,NorthEast,Saturday,2,6,5,2.4866666666666664,2.05,2.95
2000432,169000,03rd St,Clementina St  -  Folsom St,R,SouthWest,Saturday,2,6,5,2.4866666666666664,2.05,2.95
2000530,170000,03rd St,Folsom St  -  Saint Francis Pl,L,NorthEast,Saturday,2,6,5,2.4866666666666664,2.05,2.95
2000537,170000,03rd St,Folsom St  -  Saint Francis Pl,R,SouthWest,Saturday,2,6,5,2.4866666666666664,2.05,2.95
2000567,172000,03rd St,Harrison St  -  Perry St,L,NorthEast,Saturday,2,6,6,2.5083333333333333,2.05,2.95
2000574,172000,03rd St,Harrison St  -  Perry St,R,SouthWest,Saturday,2,6,6,2.5083333333333333,2.05,2.95
2000674,181000,03rd St,King St  -  Berry St,L,NorthEast,Saturday,2,6,3,2.9500000000000006,2.9,2.9833333333333334
2000681,181000,03rd St,King St  -  Berry St,R,SouthWest,Saturday,2,6,3,2.9500000000000006,2.9,2.9833333333333334
2000900,173000,03rd St,Perry St  -  Stillman St,L,NorthEast,Saturday,2,6,4,2.4208333333333334,2.05,2.95
2000907,173000,03rd St,Perry St  -  Stillman St,R,SouthWest,Saturday,2,6,4,2.4208333333333334,2.05,2.95
2000949,171000,03rd St,Saint Francis Pl  -  Harrison St,L,NorthEast,Saturday,2,6,5,2.4866666666666664,2.05,2.95
2000956,171000,03rd St,Saint Francis Pl  -  Harrison St,R,SouthWest,Saturday,2,6,5,2.4866666666666664,2.05,2.95
2001107,180000,03rd St,Townsend St  -  King St,L,NorthEast,Saturday,2,6,3,2.9500000000000006,2.9,2.9833333333333334
2001114,180000,03rd St,Townsend St  -  King St,R,SouthWest,Saturday,2,6,3,2.9500000000000006,2.9,2.9833333333333334
2001338,283000,05th Ave,Cabrillo St  -  Fulton St,L,East,Thursday,8,10,4,8.645833333333334,8.6,8.733333333333333
2001484,317000,06th Ave,Geary Blvd  -  Anza St,L,East,Monday,7,9,4,7.420833333333333,7.183333333333334,7.566666666666666
2001537,334000,06th St,Clementina St  -  Folsom St,L,NorthEast,Wednesday,4,6,3,4.188888888888889,4.15,4.25
2001538,334000,06th St,Clementina St  -  Folsom St,L,NorthEast,Thursday,4,6,3,4.144444444444445,4.133333333333334,4.15
2001544,334000,06th St,Clementina St  -  Folsom St,R,SouthWest,Wednesday,4,6,3,4.188888888888889,4.15,4.25
2001545,334000,06th St,Clementina St  -  Folsom St,R,SouthWest,Thursday,4,6,3,4.144444444444445,4.133333333333334,4.15
2001575,332000,06th St,Howard St  -  Tehama St,L,NorthEast,Wednesday,4,6,6,4.180555555555556,4.116666666666666,4.25
2001576,332000,06th St,Howard St  -  Tehama St,L,NorthEast,Thursday,4,6,6,4.147222222222222,4.133333333333334,4.166666666666667
2001582,332000,06th St,Howard St  -  Tehama St,R,SouthWest,Wednesday,4,6,6,4.180555555555556,4.116666666666666,4.25
2001583,332000,06th St,Howard St  -  Tehama St,R,SouthWest,Thursday,4,6,6,4.147222222222222,4.133333333333334,4.166666666666667
2001587,328000,06th St,Jessie St  -  Mission St,L,NorthEast,Monday,4,6,3,4.177777777777778,4.166666666666667,4.183333333333334
2001589,328000,06th St,Jessie St  -  Mission St,L,NorthEast,Wednesday,4,6,6,4.161111111111112,4.116666666666666,4.216666666666667
2001590,328000,06th St,Jessie St  -  Mission St,L,NorthEast,Thursday,4,6,6,4.127777777777778,4.083333333333333,4.166666666666667
2001594,328000,06th St,Jessie St  -  Mission St,R,SouthWest,Monday,4,6,3,4.177777777777778,4.166666666666667,4.183333333333334
2001596,328000,06th St,Jessie St  -  Mission St,R,SouthWest,Wednesday,4,6,6,4.161111111111112,4.116666666666666,4.216666666666667
2001597,328000,06th St,Jessie St  -  Mission St,R,SouthWest,Thursday,4,6,6,4.127777777777778,4.083333333333333,4.166666666666667
2001603,326000,06th St,Market St  -  Stevenson St,L,NorthEast,Wednesday,4,6,3,4.150000000000001,4.133333333333334,4.166666666666667
2001604,326000,06th St,Market St  -  Stevenson St,L,NorthEast,Thursday,4,6,3,4.105555555555555,4.083333333333333,4.133333333333334
2001610,326000,06th St,Market St  -  Stevenson St,R,SouthWest,Wednesday,4,6,3,4.150000000000001,4.133333333333334,4.166666666666667
2001611,326000,06th St,Market St  -  Stevenson St,R,SouthWest,Thursday,4,6,3,4.105555555555555,4.083333333333333,4.133333333333334
2001615,330000,06th St,Minna St  -  Natoma St,L,NorthEast,Monday,4,6,3,4.177777777777778,4.166666666666667,4.183333333333334
2001617,330000,06th St,Minna St  -  Natoma St,L,NorthEast,Wednesday,4,6,7,4.161904761904763,4.116666666666666,4.216666666666667
2001618,330000,06th St,Minna St  -  Natoma St,L,NorthEast,Thursday,4,6,8,4.1312500000000005,4.083333333333333,4.166666666666667
2001622,330000,06th St,Minna St  -  Natoma St,R,SouthWest,Monday,4,6,3,4.177777777777778,4.166666666666667,4.183333333333334
2001624,330000,06th St,Minna St  -  Natoma St,R,SouthWest,Wednesday,4,6,7,4.161904761904763,4.116666666666666,4.216666666666667
2001625,330000,06th St,Minna St  -  Natoma St,R,SouthWest,Thursday,4,6,8,4.1312500000000005,4.083333333333333,4.166666666666667
2001629,329000,06th St,Mission St  -  Minna St,L,NorthEast,Monday,4,6,3,4.177777777777778,4.166666666666667,4.183333333333334
2001631,329000,06th St,Mission St  -  Minna St,L,NorthEast,Wednesday,4,6,7,4.161904761904763,4.116666666666666,4.216666666666667
2001632,329000,06th St,Mission St  -  Minna St,L,NorthEast,Thursday,4,6,8,4.1312500000000005,4.083333333333333,4.166666666666667
2001636,329000,06th St,Mission St  -  Minna St,R,SouthWest,Monday,4,6,3,4.177777777777778,4.166666666666667,4.183333333333334
2001638,329000,06th St,Mission St  -  Minna St,R,SouthWest,Wednesday,4,6,7,4.161904761904763,4.116666666666666,4.216666666666667
2001639,329000,06th St,Mission St  -  Minna St,R,SouthWest,Thursday,4,6,8,4.1312500000000005,4.083333333333333,4.166666666666667
2001645,331000,06th St,Natoma St  -  Howard St,L,NorthEast,Wednesday,4,6,6,4.180555555555556,4.116666666666666,4.25
2001646,331000,06th St,Natoma St  -  Howard St,L,NorthEast,Thursday,4,6,6,4.147222222222222,4.133333333333334,4.166666666666667
2001652,331000,06th St,Natoma St  -  Howard St,R,SouthWest,Wednesday,4,6,6,4.180555555555556,4.116666666666666,4.25
