schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time,avg_distance_meters,min_distance_meters,max_distance_meters
2000023,124000,02nd Ave,Anza St  -  Balboa St,Monday,8,10,6,7.6499999999999995,7.066666666666666,8.766666666666667,101.44584873372197,49.831743627103755,156.85258987204406
2000029,120000,02nd Ave,California St  -  Cornwall St,Monday,7,9,6,7.577777777777778,7.15,9.616666666666667,35.18406916870811,8.797115582457879,102.29994602126776
2000031,122000,02nd Ave,Clement St  -  Geary Blvd,Monday,7,9,4,7.1375,7.116666666666666,7.15,68.10436986398321,12.265196822959636,101.1082856786146
2000033,121000,02nd Ave,Cornwall St  -  Clement St,Monday,7,9,6,7.577777777777778,7.15,9.616666666666667,45.03453035111642,8.797115582457879,161.40271311571763
2000035,123000,02nd Ave,Geary Blvd  -  Anza St,Monday,7,9,7,7.116666666666667,7.066666666666666,7.15,96.36013748626677,58.29379034905891,140.65159357148036
2000040,119000,02nd Ave,Lake St  -  California St,Wednesday,9,11,3,9.4,9.383333333333333,9.416666666666666,29.758146136316196,9.127336195904572,61.45577278961964
2000079,156000,03rd Ave,Anza St  -  Balboa St,Tuesday,8,10,6,7.666666666666668,7.466666666666667,8.55,30.230872793755253,19.2599752527095,77.41663871536582
2000083,158000,03rd Ave,Cabrillo St  -  Fulton St,Tuesday,8,10,3,8.555555555555555,8.516666666666667,8.583333333333334,53.86011834289153,42.340477116334995,69.05630031535803
2000084,158000,03rd Ave,Cabrillo St  -  Fulton St,Thursday,8,10,6,8.702777777777778,8.65,8.8,39.34746130418076,13.989954722714415,69.05630031535803
2000085,152000,03rd Ave,California St  -  Cornwall St,Tuesday,7,9,3,7.311111111111111,7.183333333333334,7.383333333333334,71.90712735760572,54.69145330930329,106.33847545421057
2000086,152000,03rd Ave,California St  -  Cornwall St,Thursday,7,9,3,7.9944444444444445,7.216666666666667,9.416666666666666,49.228522844391875,42.803651989752154,54.17680437805947
2000087,154000,03rd Ave,Clement St  -  Geary Blvd,Tuesday,7,9,5,7.2700000000000005,7.183333333333334,7.383333333333334,99.66244009338189,38.89177197227674,153.63959537153704
2000088,154000,03rd Ave,Clement St  -  Geary Blvd,Thursday,7,9,5,7.313333333333333,7.216666666666667,7.366666666666666,109.76168837838634,22.775045849761423,165.58038675848496
2000089,153000,03rd Ave,Cornwall St  -  Clement St,Tuesday,7,9,3,7.311111111111111,7.183333333333334,7.383333333333334,70.42004739365446,54.69145330930329,101.87723556235682
2000090,153000,03rd Ave,Cornwall St  -  Clement St,Thursday,7,9,3,7.9944444444444445,7.216666666666667,9.416666666666666,65.70846633101091,42.803651989752154,103.6166348379166
2000092,155000,03rd Ave,Geary Blvd  -  Anza St,Thursday,7,9,3,7.3500000000000005,7.3,7.383333333333334,93.3089459790685,73.62920083085248,109.05736589799176
2000112,192201,03rd St,23rd St  -  24th St,Saturday,2,6,3,2.733333333333334,2.65,2.85,110.91588368211671,109.1006049683751,114.54644110959994
2000127,182000,03rd St,Berry St  -  Channel St,Monday,2,6,7,2.4261904761904765,2.0166666666666666,2.9833333333333334,185.34595555775604,144.8818077716912,197.3361329620682
2000128,182000,03rd St,Berry St  -  Channel St,Monday,0,2,3,2.0333333333333337,2.0166666666666666,2.066666666666667,174.76412662132478,144.8818077716912,192.5668055961684
