schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_hour,min_citation_hour,max_citation_hour,avg_distance_meters,min_distance_meters,max_distance_meters
2000023,124000,02nd Ave,Anza St  -  Balboa St,Monday,8,10,6,10.0,10,10,101.44584873372197,49.831743627103755,156.85258987204406
2000029,120000,02nd Ave,California St  -  Cornwall St,Monday,7,9,6,10.0,10,10,35.18406916870811,8.797115582457879,102.29994602126776
2000031,122000,02nd Ave,Clement St  -  Geary Blvd,Monday,7,9,4,10.0,10,10,68.10436986398321,12.265196822959636,101.1082856786146
2000033,121000,02nd Ave,Cornwall St  -  Clement St,Monday,7,9,6,10.0,10,10,45.03453035111642,8.797115582457879,161.40271311571763
2000035,123000,02nd Ave,Geary Blvd  -  Anza St,Monday,7,9,7,10.0,10,10,96.36013748626677,58.29379034905891,140.65159357148036
2000040,119000,02nd Ave,Lake St  -  California St,Wednesday,9,11,3,10.0,10,10,29.758146136316196,9.127336195904572,61.45577278961964
2000079,156000,03rd Ave,Anza St  -  Balboa St,Tuesday,8,10,6,10.0,10,10,30.230872793755253,19.2599752527095,77.41663871536582
2000083,158000,03rd Ave,Cabrillo St  -  Fulton St,Tuesday,8,10,3,10.0,10,10,53.86011834289153,42.340477116334995,69.05630031535803
2000084,158000,03rd Ave,Cabrillo St  -  Fulton St,Thursday,8,10,6,10.0,10,10,39.34746130418076,13.989954722714417,69.05630031535803
2000085,152000,03rd Ave,California St  -  Cornwall St,Tuesday,7,9,3,10.0,10,10,71.90712735760572,54.69145330930329,106.33847545421055
2000086,152000,03rd Ave,California St  -  Cornwall St,Thursday,7,9,3,10.0,10,10,49.228522844391875,42.803651989752154,54.17680437805947
2000087,154000,03rd Ave,Clement St  -  Geary Blvd,Tuesday,7,9,5,10.0,10,10,99.66244009338189,38.89177197227674,153.63959537153704
2000088,154000,03rd Ave,Clement St  -  Geary Blvd,Thursday,7,9,5,10.0,10,10,109.76168837838637,22.775045849761423,165.58038675848496
2000089,153000,03rd Ave,Cornwall St  -  Clement St,Tuesday,7,9,3,10.0,10,10,70.42004739365446,54.69145330930329,101.87723556235682
