schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time
2000029,120000,02nd Ave,California St  -  Cornwall St,Monday,7,9,5,7.17,7.15,7.2
2000031,122000,02nd Ave,Clement St  -  Geary Blvd,Monday,7,9,4,7.1375,7.116666666666666,7.15
2000033,121000,02nd Ave,Cornwall St  -  Clement St,Monday,7,9,5,7.17,7.15,7.2
2000035,123000,02nd Ave,Geary Blvd  -  Anza St,Monday,7,9,7,7.116666666666667,7.066666666666666,7.15
2000040,119000,02nd Ave,Lake St  -  California St,Wednesday,9,11,3,9.4,9.383333333333333,9.416666666666666
2000083,158000,03rd Ave,Cabrillo St  -  Fulton St,Tuesday,8,10,3,8.555555555555555,8.516666666666667,8.583333333333334
2000084,158000,03rd Ave,Cabrillo St  -  Fulton St,Thursday,8,10,6,8.702777777777778,8.65,8.8
2000085,152000,03rd Ave,California St  -  Cornwall St,Tuesday,7,9,3,7.311111111111111,7.183333333333334,7.383333333333334
2000087,154000,03rd Ave,Clement St  -  Geary Blvd,Tuesday,7,9,5,7.2700000000000005,7.183333333333334,7.383333333333334
2000088,154000,03rd Ave,Clement St  -  Geary Blvd,Thursday,7,9,5,7.313333333333333,7.216666666666667,7.366666666666666
2000089,153000,03rd Ave,Cornwall St  -  Clement St,Tuesday,7,9,3,7.311111111111111,7.183333333333334,7.383333333333334
2000092,155000,03rd Ave,Geary Blvd  -  Anza St,Thursday,7,9,3,7.3500000000000005,7.3,7.383333333333334
2000112,192201,03rd St,23rd St  -  24th St,Saturday,2,6,3,2.733333333333334,2.65,2.85
2000127,182000,03rd St,Berry St  -  Channel St,Monday,2,6,7,2.4261904761904765,2.0166666666666666,2.9833333333333334
2000130,182000,03rd St,Berry St  -  Channel St,Saturday,2,6,3,2.9500000000000006,2.9,2.9833333333333334
2000131,179000,03rd St,Brannan St  -  Townsend St,Monday,2,6,15,2.2166666666666663,2.0,2.9833333333333334
2000132,179000,03rd St,Brannan St  -  Townsend St,Monday,2,6,15,2.2166666666666663,2.0,2.9833333333333334
2000133,175000,03rd St,Bryant St  -  Taber Pl,Sunday,2,6,7,2.15,2.033333333333333,2.6166666666666667
2000134,175000,03rd St,Bryant St  -  Taber Pl,Sunday,2,6,7,2.15,2.033333333333333,2.6166666666666667
2000155,169000,03rd St,Clementina St  -  Folsom St,Saturday,2,6,27,2.171604938271605,2.05,2.95
2000156,169000,03rd St,Clementina St  -  Folsom St,Saturday,2,6,27,2.171604938271605,2.05,2.95
2000181,170000,03rd St,Folsom St  -  Saint Francis Pl,Saturday,2,6,26,2.1724358974358973,2.05,2.95
2000182,170000,03rd St,Folsom St  -  Saint Francis Pl,Saturday,2,6,26,2.1724358974358973,2.05,2.95
2000190,172000,03rd St,Harrison St  -  Perry St,Sunday,2,6,26,2.1884615384615387,2.05,2.95
2000191,172000,03rd St,Harrison St  -  Perry St,Sunday,2,6,26,2.1884615384615387,2.05,2.95
2000195,168000,03rd St,Howard St  -  Clementina St,Saturday,2,6,16,2.1125,2.0166666666666666,2.183333333333333
2000196,168000,03rd St,Howard St  -  Clementina St,Saturday,2,6,16,2.1125,2.0166666666666666,2.183333333333333
2000212,165000,03rd St,Jessie St  -  Mission St,Monday,2,6,8,2.122916666666667,2.0833333333333335,2.1666666666666665
2000213,165000,03rd St,Jessie St  -  Mission St,Monday,2,6,8,2.122916666666667,2.0833333333333335,2.1666666666666665
2000216,181000,03rd St,King St  -  Berry St,Saturday,2,6,11,2.283333333333333,2.0,2.9833333333333334
2000217,181000,03rd St,King St  -  Berry St,Saturday,2,6,11,2.283333333333333,2.0,2.9833333333333334
2000243,210101,03rd St,McKinnon Ave  -  Newcomb Ave,Saturday,2,6,3,2.7000000000000006,2.5833333333333335,2.783333333333333
2000245,210201,03rd St,McKinnon Ave  -  Newcomb Ave,Saturday,2,6,3,2.7000000000000006,2.5833333333333335,2.783333333333333
2000247,167000,03rd St,Minna St  -  Howard St,Saturday,2,6,17,2.115686274509804,2.0166666666666666,2.183333333333333
2000248,167000,03rd St,Minna St  -  Howard St,Saturday,2,6,17,2.115686274509804,2.0166666666666666,2.183333333333333
2000249,166000,03rd St,Mission St  -  Minna St,Saturday,2,6,17,2.115686274509804,2.0166666666666666,2.183333333333333
2000250,166000,03rd St,Mission St  -  Minna St,Saturday,2,6,17,2.115686274509804,2.0166666666666666,2.183333333333333
2000251,211101,03rd St,Newcomb Ave  -  Oakdale Ave,Saturday,2,6,3,2.7000000000000006,2.5833333333333335,2.783333333333333
2000253,211201,03rd St,Newcomb Ave  -  Oakdale Ave,Saturday,2,6,3,2.7000000000000006,2.5833333333333335,2.783333333333333
2000269,173000,03rd St,Perry St  -  Stillman St,Sunday,2,6,12,2.204166666666666,2.05,2.95
2000270,173000,03rd St,Perry St  -  Stillman St,Sunday,2,6,12,2.204166666666666,2.05,2.95
2000281,171000,03rd St,Saint Francis Pl  -  Harrison St,Sunday,2,6,24,2.1777777777777776,2.05,2.95
2000282,171000,03rd St,Saint Francis Pl  -  Harrison St,Sunday,2,6,24,2.1777777777777776,2.05,2.95
2000289,177000,03rd St,South Park  -  Varney Pl,Monday,2,6,7,2.1238095238095243,2.0166666666666666,2.6166666666666667
2000290,177000,03rd St,South Park  -  Varney Pl,Monday,2,6,7,2.1238095238095243,2.0166666666666666,2.6166666666666667
2000291,164000,03rd St,Stevenson St  -  Jessie St,Monday,2,6,8,2.122916666666667,2.0833333333333335,2.1666666666666665
2000292,164000,03rd St,Stevenson St  -  Jessie St,Monday,2,6,8,2.122916666666667,2.0833333333333335,2.1666666666666665
2000293,174000,03rd St,Stillman St  -  Bryant St,Sunday,2,6,7,2.15,2.033333333333333,2.6166666666666667
2000294,174000,03rd St,Stillman St  -  Bryant St,Sunday,2,6,7,2.15,2.033333333333333,2.6166666666666667
2000295,176000,03rd St,Taber Pl  -  South Park,Sunday,2,6,4,2.191666666666667,2.033333333333333,2.6166666666666667
2000296,176000,03rd St,Taber Pl  -  South Park,Sunday,2,6,4,2.191666666666667,2.033333333333333,2.6166666666666667
2000305,180000,03rd St,Townsend St  -  King St,Monday,2,6,14,2.2297619047619044,2.0,2.9833333333333334
2000306,180000,03rd St,Townsend St  -  King St,Monday,2,6,14,2.2297619047619044,2.0,2.9833333333333334
2000311,178000,03rd St,Varney Pl  -  Brannan St,Monday,2,6,6,2.1333333333333333,2.0166666666666666,2.6166666666666667
2000312,178000,03rd St,Varney Pl  -  Brannan St,Monday,2,6,6,2.1333333333333333,2.0166666666666666,2.6166666666666667
2000324,244000,04th Ave,Balboa St  -  Cabrillo St,Monday,8,10,3,8.733333333333334,8.716666666666667,8.75
2000326,245000,04th Ave,Cabrillo St  -  Fulton St,Monday,8,10,3,8.755555555555555,8.716666666666667,8.8
2000340,238000,04th Ave,Lake St  -  California St,Monday,9,11,3,9.416666666666666,9.316666666666666,9.6
2000387,281000,05th Ave,Anza St  -  Balboa St,Thursday,8,10,3,8.694444444444443,8.666666666666666,8.716666666666667
2000391,283000,05th Ave,Cabrillo St  -  Fulton St,Thursday,8,10,5,8.66,8.6,8.733333333333333
2000394,277000,05th Ave,California St  -  Cornwall St,Tuesday,7,9,3,7.233333333333333,7.216666666666667,7.25
2000395,279000,05th Ave,Clement St  -  Geary Blvd,Thursday,7,9,6,7.302777777777777,7.233333333333333,7.333333333333333
2000396,279000,05th Ave,Clement St  -  Geary Blvd,Tuesday,7,9,3,7.3,7.233333333333333,7.416666666666667
2000398,278000,05th Ave,Cornwall St  -  Clement St,Tuesday,7,9,3,7.233333333333333,7.216666666666667,7.25
2000399,280000,05th Ave,Geary Blvd  -  Anza St,Thursday,7,9,5,7.530000000000001,7.25,7.616666666666667
2000400,280000,05th Ave,Geary Blvd  -  Anza St,Tuesday,7,9,4,7.370833333333334,7.25,7.45
2000409,276000,05th Ave,Lake St  -  California St,Thursday,9,11,3,9.561111111111112,9.516666666666667,9.633333333333333
2000410,276000,05th Ave,Lake St  -  California St,Tuesday,9,11,4,9.537500000000001,9.5,9.583333333333334
2000456,319000,06th Ave,Balboa St  -  Cabrillo St,Wednesday,8,10,4,8.733333333333334,8.7,8.766666666666667
2000457,320000,06th Ave,Cabrillo St  -  Fulton St,Monday,8,10,5,8.709999999999999,8.683333333333334,8.733333333333333
2000458,320000,06th Ave,Cabrillo St  -  Fulton St,Wednesday,8,10,3,8.677777777777777,8.65,8.716666666666667
2000461,316000,06th Ave,Clement St  -  Geary Blvd,Monday,7,9,4,7.229166666666667,7.2,7.266666666666667
2000465,317000,06th Ave,Geary Blvd  -  Anza St,Monday,7,9,4,7.420833333333333,7.183333333333334,7.566666666666666
2000475,313000,06th Ave,Lake St  -  California St,Wednesday,9,11,3,9.53888888888889,9.5,9.583333333333334
2000480,339000,06th St,Ahern Way  -  Bryant St,Wednesday,4,6,4,4.2250000000000005,4.183333333333334,4.283333333333333
2000481,339000,06th St,Ahern Way  -  Bryant St,Wednesday,4,6,4,4.2250000000000005,4.183333333333334,4.283333333333333
2000485,337000,06th St,Clara St  -  Harrison St,Friday,4,6,14,4.2250000000000005,4.15,4.316666666666666
2000486,337000,06th St,Clara St  -  Harrison St,Friday,4,6,14,4.2250000000000005,4.15,4.316666666666666
2000487,334000,06th St,Clementina St  -  Folsom St,Friday,4,6,36,4.135648148148149,4.0,4.316666666666666
2000488,334000,06th St,Clementina St  -  Folsom St,Friday,4,6,36,4.135648148148149,4.0,4.316666666666666
2000489,335000,06th St,Folsom St  -  Shipley St,Friday,4,6,24,4.175,4.0,4.316666666666666
2000490,335000,06th St,Folsom St  -  Shipley St,Friday,4,6,24,4.175,4.0,4.316666666666666
2000491,338000,06th St,Harrison St  -  Ahern Way,Friday,4,6,12,4.230555555555555,4.166666666666667,4.316666666666666
2000492,338000,06th St,Harrison St  -  Ahern Way,Friday,4,6,12,4.230555555555555,4.166666666666667,4.316666666666666
2000493,332000,06th St,Howard St  -  Tehama St,Wednesday,4,6,56,4.107440476190477,4.0,4.25
2000494,332000,06th St,Howard St  -  Tehama St,Wednesday,4,6,56,4.107440476190477,4.0,4.25
2000495,328000,06th St,Jessie St  -  Mission St,Wednesday,4,6,60,4.128333333333334,4.033333333333333,4.25
2000496,328000,06th St,Jessie St  -  Mission St,Wednesday,4,6,60,4.128333333333334,4.033333333333333,4.25
2000497,326000,06th St,Market St  -  Stevenson St,Saturday,4,6,29,4.141379310344828,4.033333333333333,4.25
2000498,326000,06th St,Market St  -  Stevenson St,Saturday,4,6,29,4.141379310344828,4.033333333333333,4.25
2000499,330000,06th St,Minna St  -  Natoma St,Wednesday,4,6,79,4.116877637130802,4.0,4.25
2000500,330000,06th St,Minna St  -  Natoma St,Wednesday,4,6,79,4.116877637130802,4.0,4.25
2000501,329000,06th St,Mission St  -  Minna St,Wednesday,4,6,81,4.117489711934156,4.0,4.25
2000502,329000,06th St,Mission St  -  Minna St,Wednesday,4,6,81,4.117489711934156,4.0,4.25
2000503,331000,06th St,Natoma St  -  Howard St,Wednesday,4,6,57,4.108479532163742,4.0,4.25
2000504,331000,06th St,Natoma St  -  Howard St,Wednesday,4,6,57,4.108479532163742,4.0,4.25
2000505,336000,06th St,Shipley St  -  Clara St,Friday,4,6,24,4.1812499999999995,4.0,4.316666666666666
2000506,336000,06th St,Shipley St  -  Clara St,Friday,4,6,24,4.1812499999999995,4.0,4.316666666666666
2000507,327000,06th St,Stevenson St  -  Jessie St,Wednesday,4,6,60,4.128333333333334,4.033333333333333,4.25
2000508,327000,06th St,Stevenson St  -  Jessie St,Wednesday,4,6,60,4.128333333333334,4.033333333333333,4.25
2000509,333000,06th St,Tehama St  -  Clementina St,Friday,4,6,34,4.100980392156863,4.0,4.25
2000510,333000,06th St,Tehama St  -  Clementina St,Friday,4,6,34,4.100980392156863,4.0,4.25
2000513,355000,07th Ave,Balboa St  -  Cabrillo St,Tuesday,8,10,3,8.65,8.6,8.716666666666667
2000515,356000,07th Ave,Cabrillo St  -  Fulton St,Tuesday,8,10,3,8.633333333333333,8.6,8.666666666666666
2000517,351000,07th Ave,California St  -  Clement St,Tuesday,7,9,3,7.394444444444445,7.25,7.466666666666667
2000519,352000,07th Ave,Clement St  -  Geary Blvd,Tuesday,7,9,4,7.366666666666667,7.25,7.466666666666667
