2025-07-23 00:07:39,337 - INFO - 🚗 Starting Production Citation GPS Processing
2025-07-23 00:07:39,337 - INFO - ============================================================
2025-07-23 00:07:39,337 - INFO - Loading citations from file: temp_citations_for_geocoding.csv
2025-07-23 00:07:46,237 - INFO - ✅ Loaded 493064 citations from file
2025-07-23 00:07:46,239 - INFO - Processing 493064 citations in batches of 200
2025-07-23 00:07:46,239 - INFO - Processing batch 1: citations 1-200 of 493064
2025-07-23 00:07:47,139 - INFO - Processed 10 citations. Success rate: 90.0% (H:9, M:0, F:1)
2025-07-23 00:07:47,813 - INFO - Processed 20 citations. Success rate: 95.0% (H:19, M:0, F:1)
2025-07-23 00:07:48,546 - INFO - Processed 30 citations. Success rate: 96.7% (H:29, M:0, F:1)
2025-07-23 00:07:48,872 - INFO - Processed 40 citations. Success rate: 97.5% (H:39, M:0, F:1)
2025-07-23 00:07:49,299 - INFO - Processed 50 citations. Success rate: 98.0% (H:48, M:1, F:1)
2025-07-23 00:07:49,829 - INFO - Processed 60 citations. Success rate: 98.3% (H:58, M:1, F:1)
2025-07-23 00:07:50,369 - INFO - Processed 70 citations. Success rate: 97.1% (H:67, M:1, F:2)
2025-07-23 00:07:50,924 - INFO - Processed 80 citations. Success rate: 97.5% (H:77, M:1, F:2)
2025-07-23 00:07:51,444 - INFO - Processed 90 citations. Success rate: 97.8% (H:86, M:2, F:2)
2025-07-23 00:07:51,990 - INFO - Processed 100 citations. Success rate: 98.0% (H:96, M:2, F:2)
2025-07-23 00:07:52,513 - INFO - Processed 110 citations. Success rate: 98.2% (H:106, M:2, F:2)
2025-07-23 00:07:53,054 - INFO - Processed 120 citations. Success rate: 98.3% (H:116, M:2, F:2)
2025-07-23 00:07:53,585 - INFO - Processed 130 citations. Success rate: 98.5% (H:126, M:2, F:2)
2025-07-23 00:07:54,137 - INFO - Processed 140 citations. Success rate: 98.6% (H:136, M:2, F:2)
2025-07-23 00:07:54,649 - INFO - Processed 150 citations. Success rate: 98.7% (H:146, M:2, F:2)
2025-07-23 00:07:55,194 - INFO - Processed 160 citations. Success rate: 98.8% (H:156, M:2, F:2)
2025-07-23 00:07:55,741 - INFO - Processed 170 citations. Success rate: 98.8% (H:166, M:2, F:2)
2025-07-23 00:07:56,285 - INFO - Processed 180 citations. Success rate: 98.9% (H:176, M:2, F:2)
2025-07-23 00:07:56,805 - INFO - Processed 190 citations. Success rate: 98.4% (H:185, M:2, F:3)
2025-07-23 00:07:57,372 - INFO - Processed 200 citations. Success rate: 97.5% (H:193, M:2, F:5)
2025-07-23 00:07:57,373 - INFO - Batch completed: 195/200 success (97.5%)
2025-07-23 00:07:57,373 - INFO - Processing batch 2: citations 201-400 of 493064
2025-07-23 00:07:58,286 - INFO - Processed 210 citations. Success rate: 97.6% (H:202, M:3, F:5)
2025-07-23 00:07:58,814 - INFO - Processed 220 citations. Success rate: 96.8% (H:210, M:3, F:7)
2025-07-23 00:07:59,332 - INFO - Processed 230 citations. Success rate: 96.5% (H:219, M:3, F:8)
2025-07-23 00:07:59,876 - INFO - Processed 240 citations. Success rate: 94.6% (H:224, M:3, F:13)
2025-07-23 00:08:00,405 - INFO - Processed 250 citations. Success rate: 94.8% (H:234, M:3, F:13)
2025-07-23 00:08:00,938 - INFO - Processed 260 citations. Success rate: 95.0% (H:244, M:3, F:13)
2025-07-23 00:08:01,457 - INFO - Processed 270 citations. Success rate: 95.2% (H:254, M:3, F:13)
2025-07-23 00:08:02,006 - INFO - Processed 280 citations. Success rate: 95.4% (H:264, M:3, F:13)
2025-07-23 00:08:02,557 - INFO - Processed 290 citations. Success rate: 95.5% (H:274, M:3, F:13)
2025-07-23 00:08:03,104 - INFO - Processed 300 citations. Success rate: 95.7% (H:284, M:3, F:13)
2025-07-23 00:08:03,617 - INFO - Processed 310 citations. Success rate: 95.8% (H:294, M:3, F:13)
2025-07-23 00:08:04,166 - INFO - Processed 320 citations. Success rate: 95.6% (H:303, M:3, F:14)
2025-07-23 00:08:04,694 - INFO - Processed 330 citations. Success rate: 95.8% (H:313, M:3, F:14)
2025-07-23 00:08:05,207 - INFO - Processed 340 citations. Success rate: 95.9% (H:323, M:3, F:14)
2025-07-23 00:08:05,796 - INFO - Processed 350 citations. Success rate: 96.0% (H:333, M:3, F:14)
2025-07-23 00:08:06,303 - INFO - Processed 360 citations. Success rate: 96.1% (H:343, M:3, F:14)
